MainProcess | log time - 2022-07-22 16:18:06 | log level - INFO | [main.py: line - 184 in function start] | Начало выполнения программы в один процесс
MainProcess | log time - 2022-07-22 16:18:06 | log level - INFO | [main.py: line - 191 in function start] | Начало выполнения 1 кол-ва циклов
MainProcess | log time - 2022-07-22 16:18:09 | log level - INFO | [main.py: line - 323 in function get_and_save_links_on_ad] | Номер страницы: 1
MainProcess | log time - 2022-07-22 16:18:16 | log level - INFO | [main.py: line - 334 in function get_and_save_links_on_ad] | Всего ссылок на объявления: 100
MainProcess | log time - 2022-07-22 16:18:16 | log level - INFO | [main.py: line - 343 in function get_and_save_links_on_ad] | Ожидание: 10 сек
MainProcess | log time - 2022-07-22 16:18:26 | log level - INFO | [main.py: line - 221 in function get_and_save_ads_info] | Проверяемое объявление https://avito.ru/moskva/kvartiry/1-k._kvartira_38m_312et._2098773134
MainProcess | log time - 2022-07-22 16:19:22 | log level - INFO | [main.py: line - 258 in function get_and_save_ads_info] | Очистка html тегов из описания
MainProcess | log time - 2022-07-22 16:19:22 | log level - INFO | [main.py: line - 287 in function get_and_save_ads_info] | Полученные данные объявления {'Дата публикации': 'Вчера в 20:09', 'Заголовок': '1-к. квартира, 38\xa0м², 3/12\xa0эт.', 'Описание': 'Нужна уютная и современная квартира? Тогда звоните нам.👇\n ⠀\n Однокомнатная квартира рядом с метро.👌\n ⠀\n Всё необходимое для комфортного проживания и отдыха есть: туалетные принадлежности, постельное бельё и полотенца, посуда и вся бытовая техника.\n ⠀\n Современный стильный ремонт.\n Рядом метро, ТЦ.\n ⠀\n Предоставим все отчетные документы.\n ⠀\n Максимальное количество человек до 4-х.\n ⠀\n Круглосуточное заселение в любое время.\n ⠀\n Звоните прямо сейчас! 🤝\n', 'Цена': '1620', 'Регион': '', 'Город': 'Москва', 'Адрес': 'Москва, 4-й Войковский пр., 4', 'url': 'https://avito.ru/moskva/kvartiry/1-k._kvartira_38m_312et._2098773134', 'Изображения': 'https://89.img.avito.st/image/1/1.KNeTZrayhD6l0QYzz3JogmvFhDgzx4Y.DRYA7fJtJ45dGwJizSK971v-k5sLHkMMOelVAl9EXZ4\nhttps://72.img.avito.st/image/1/1.OWHO6LaylYj4XxeFsPx5NDZLlY5uSZc.c0eMFGQ1hXxzEjFDpQO2IDSuZsrTdjQDGNSI1QENREU\nhttps://64.img.avito.st/image/1/1.AWHO6LayrYj4Xy-FwPxBNDZLrY5uSa8.E4M4Mh8BIAz4iYFqrJLeAnhqP8UVjtoUnBld9uwjLac\nhttps://61.img.avito.st/image/1/1.BLflYbayqF7T1ipT4XVE4h3CqFhFwKo.pbEhFNH_IKYpzAprCl6i1kTuiDeyMCswbTwMPDWqKcM\nhttps://63.img.avito.st/image/1/1.BnyiU7ayqpWU5CiYokdGKVrwqpMC8qg.XOzRRU3QFcpc0rnagYb7TRC5ofzXSeTzalZRPKsBJjM\nhttps://76.img.avito.st/image/1/1.NUwyG7aymaUErBuoVA91Gcq4maOSups.2XB7eW5zhXChqR0tlgnBiDgzS6yT1Uvht_t21WuuLtg\nhttps://60.img.avito.st/image/1/1.BVMRJ7ayqbonkCu3FzNFBumEqbyxhqs.QQh7K1XR9SfRNtehAu3VLBBIREIRGM6nhefRwA__O-Q\nhttps://03.img.avito.st/image/1/1.jv9pNLayIhZfg6AbeR7PqpGXIhDJlSA.oCPtVoWWKwOQw8d6nuYkH4Llv8zmSJH1nnykSOQuFp8\nhttps://05.img.avito.st/image/1/1.iNxTZrayJDVl0aY4T0zJiavFJDPzxyY.0AsdaxsjcGBp-5_IvRxNkzOiiBwMu5VYAcZgVIFt_6Q\nhttps://23.img.avito.st/image/1/1.uhLH7rayFvvxWZT2v8T7Rz9NFv1nTxQ.1YS8a5PaKss2AOchhcDzpExetlGFaUqy88E4WSXBWW4\nhttps://10.img.avito.st/image/1/1.h1SYirayK72uPamwmqDGAWApK7s4Kyk.mpu1Kk7XdsMK8voxWTzSSQp7WGDCA1nGhQn6du9C2Q4\nhttps://35.img.avito.st/image/1/1.rnyifLayApWUy4CY8lbvKVrfApMC3QA.sTJEFpvnGGGKMtumqGcuIr7h-zPeDyvz4eEb_uFziFg\nhttps://15.img.avito.st/image/1/1.ghLH7rayLvvxWaz2z8TDRz9NLv1nTyw.ZLmm769jvtZ3GWVKJ2NuYY4sONUhUBlj_vPW7jUFPHI\n', 'Характеристики': 'Количество комнат: 1;Общая площадь: 38 м²;Этаж: 3 из 12;Балкон или лоджия: балкон, лоджия;Техника: холодильник, плита, стиральная машина, телевизор, фен, утюг;Интернет и ТВ: Wi-Fi, телевидение;Комфорт: постельное белье, полотенца, средства гигиены;Залог: 1000 ₽;'}
MainProcess | log time - 2022-07-22 16:19:22 | log level - INFO | [main.py: line - 293 in function get_and_save_ads_info] | Сохранение данных в файл ./data/result/result.xlsx
MainProcess | log time - 2022-07-22 16:19:22 | log level - INFO | [main.py: line - 308 in function get_and_save_ads_info] | Ожидание: 10 сек
MainProcess | log time - 2022-07-22 16:19:32 | log level - INFO | [main.py: line - 221 in function get_and_save_ads_info] | Проверяемое объявление https://avito.ru/moskva/kvartiry/1-k._kvartira_41m_422et._2020156097
